[1] = {502, 6, 315.85800170898, -1769.4300537109, 4.6223998069763, 'Beach Avenue', 1000000},
[133] = {637, 30, 1986.6099853516, -1605.0300292969, 13.532099723816, 'Mason St.', 40000},
[134] = {638, 30, 1972.9799804688, -1559.8199462891, 13.639800071716, 'Mason St.', 150000},
[135] = {639, 30, 1958.6899414063, -1560.3299560547, 13.594300270081, 'Mason St.', 120000},
[136] = {640, 15, 1967.4899902344, -1633.7099609375, 15.968799591064, 'St. Anthony St.', 100000},
[137] = {641, 15, 1972.2700195313, -1633.7099609375, 15.968799591064, 'St. Anthony St.', 100000},
[138] = {642, 15, 1967.5500488281, -1633.7099609375, 18.569000244141, 'St. Anthony St.', 100000},
[139] = {643, 15, 1972.1300048828, -1633.7099609375, 18.569000244141, 'St. Anthony St.', 100000},
[140] = {644, 15, 1976.2099609375, -1634.0600585938, 18.569000244141, 'St. Anthony St.', 100000},
[141] = {645, 15, 1976.2099609375, -1634.0400390625, 16.211099624634, 'St. Anthony St.', 100000},
[142] = {646, 15, 1969.4000244141, -1654.6700439453, 15.968799591064, 'St. Anthony St.', 100000},
[143] = {647, 15, 1973.3199462891, -1654.6700439453, 15.968799591064, 'St. Anthony St.', 100000},
[144] = {648, 15, 1970.0400390625, -1671.1899414063, 18.545600891113, 'St. Anthony St.', 100000},
[145] = {649, 15, 1974.8599853516, -1671.1899414063, 18.545600891113, 'St. Anthony St.', 100000},
[146] = {650, 15, 1978.7700195313, -1671.5300292969, 18.545600891113, 'St. Anthony St.', 100000},
[147] = {651, 15, 1978.7700195313, -1671.5799560547, 16.187599182129, 'St. Anthony St.', 100000},
[148] = {652, 15, 1974.8100585938, -1671.1899414063, 15.968799591064, 'St. Anthony St.', 100000},
[149] = {653, 15, 1970.0100097656, -1671.1899414063, 15.968799591064, 'St. Anthony St.', 100000},
[150] = {654, 15, 1969.3100585938, -1705.1400146484, 15.968799591064, 'St. Anthony St.', 100000},
[151] = {655, 15, 1973.2299804688, -1705.1400146484, 15.968799591064, 'St. Anthony St.', 100000},
[152] = {656, 1, 1980.3800048828, -1718.9200439453, 17.030300140381, 'St. Anthony St.', 120000},
[153] = {657, 1, 1981.0100097656, -1682.8399658203, 17.053699493408, 'St. Anthony St.', 500000},
[154] = {658, 27, 2707.3100585938, -1238.0400390625, 59.674198150635, 'Carson Quadrant', 8000},
[155] = {659, 27, 2707.3100585938, -1233.5, 61.071399688721, 'Carson Quadrant', 8000},
[156] = {660, 27, 2707.3100585938, -1229.2399902344, 62.300899505615, 'Carson Quadrant', 8000},
[157] = {661, 27, 2707.3100585938, -1224.6999511719, 63.586498260498, 'Carson Quadrant', 8000},
[158] = {662, 27, 2707.3100585938, -1220.4799804688, 64.87979888916, 'Carson Quadrant', 8000},
[159] = {663, 27, 2707.3100585938, -1216.2700195313, 66.228996276855, 'Carson Quadrant', 8000},
[160] = {664, 27, 2707.3100585938, -1211.8000488281, 67.61840057373, 'Carson Quadrant', 8000},
[161] = {665, 27, 2707.3100585938, -1207.6199951172, 68.751998901367, 'Carson Quadrant', 8000},
[162] = {666, 27, 2707.3100585938, -1203.0699462891, 69.68620300293, 'Carson Quadrant', 8000},
[163] = {667, 27, 2707.3100585938, -1200.0799560547, 70.460403442383, 'Carson Quadrant', 8000},
[164] = {668, 19, 2750.3898925781, -1205.6800537109, 67.484397888184, 'Emerald Avenue', 120000},
[165] = {669, 19, 2750.3798828125, -1222.2600097656, 64.601600646973, 'Emerald Avenue', 120000},
[166] = {670, 19, 2750.3798828125, -1238.7399902344, 61.524501800537, 'Emerald Avenue', 120000},
[167] = {671, 27, 2700.2099609375, -1200.0799560547, 68.970596313477, 'Carson Quadrant', 8000},
[168] = {672, 27, 2700.1999511719, -1203.1199951172, 68.195899963379, 'Carson Quadrant', 8000},
[169] = {673, 27, 2700.2099609375, -1207.6899414063, 67.261901855469, 'Carson Quadrant', 8000},
[170] = {674, 27, 2700.1999511719, -1211.9100341797, 66.127998352051, 'Carson Quadrant', 8000},
[171] = {675, 27, 2700.2099609375, -1216.3699951172, 64.738998413086, 'Carson Quadrant', 8000},
[172] = {676, 27, 2700.2099609375, -1220.5300292969, 63.389701843262, 'Carson Quadrant', 8000},
[173] = {677, 16, 2755.8500976563, -1276.5500488281, 56.593799591064, 'Emerald Avenue', 100000},
[174] = {678, 27, 2700.2099609375, -1224.7600097656, 62.0964012146, 'Carson Quadrant', 8000},
[175] = {679, 27, 2700.2099609375, -1229.2099609375, 60.810699462891, 'Carson Quadrant', 8000},
[176] = {680, 27, 2700.2099609375, -1233.6700439453, 59.581298828125, 'Carson Quadrant', 8000},
[177] = {681, 27, 2700.2099609375, -1238.1600341797, 58.184101104736, 'Carson Quadrant', 8000},
[178] = {682, 27, 2690.5400390625, -1237.9399414063, 57.510501861572, 'Carson Quadrant', 8000},
[179] = {683, 16, 2756.2900390625, -1302.4899902344, 53.093799591064, 'Emerald Avenue', 100000},
[180] = {684, 27, 2690.5400390625, -1233.5600585938, 58.907398223877, 'Carson Quadrant', 8000},
[181] = {685, 27, 2690.5400390625, -1229.2700195313, 60.137001037598, 'Carson Quadrant', 8000},
[182] = {686, 27, 2690.5400390625, -1224.6899414063, 61.422199249268, 'Carson Quadrant', 8000},
[183] = {687, 27, 2690.5400390625, -1220.5200195313, 62.715599060059, 'Carson Quadrant', 8000},
[184] = {688, 27, 2690.5400390625, -1216.3800048828, 64.065101623535, 'Carson Quadrant', 8000},
[185] = {689, 27, 2690.5400390625, -1211.7900390625, 65.454299926758, 'Carson Quadrant', 8000},
[186] = {690, 27, 2690.5400390625, -1207.5500488281, 66.587898254395, 'Carson Quadrant', 8000},
[187] = {691, 27, 2690.5400390625, -1203.0400390625, 67.522003173828, 'Carson Quadrant', 8000},
[188] = {692, 27, 2690.5400390625, -1200.0699462891, 68.296401977539, 'Carson Quadrant', 8000},
[189] = {693, 27, 2683.4399414063, -1200.1099853516, 66.806503295898, 'Carson Quadrant', 8000},
[190] = {694, 27, 2683.4399414063, -1203.0799560547, 66.031898498535, 'Carson Quadrant', 8000},
[191] = {695, 27, 2683.4399414063, -1207.6500244141, 65.097801208496, 'Carson Quadrant', 8000},
[192] = {696, 27, 2683.4399414063, -1211.7700195313, 63.96369934082, 'Carson Quadrant', 8000},
[193] = {697, 27, 2683.4399414063, -1216.3299560547, 62.574798583984, 'Carson Quadrant', 8000},
[194] = {698, 27, 2683.4399414063, -1220.5100097656, 61.225498199463, 'Carson Quadrant', 8000},
[195] = {699, 27, 2683.4399414063, -1224.7800292969, 59.932300567627, 'Carson Quadrant', 8000},
[196] = {700, 27, 2683.4399414063, -1229.3299560547, 58.646800994873, 'Carson Quadrant', 8000},
[197] = {701, 27, 2683.4399414063, -1233.6700439453, 57.417301177979, 'Carson Quadrant', 8000},
[198] = {702, 27, 2683.4399414063, -1238.0799560547, 56.020099639893, 'Carson Quadrant', 8000},
[199] = {703, 27, 2670.2800292969, -1238.0500488281, 55.728900909424, 'Carson Quadrant', 8000},
[200] = {704, 27, 2670.2800292969, -1233.5400390625, 57.118698120117, 'Carson Quadrant', 8000},
[201] = {705, 27, 2670.2800292969, -1229.2900390625, 58.350601196289, 'Carson Quadrant', 8000},
[202] = {706, 27, 2670.2800292969, -1224.7199707031, 59.631801605225, 'Carson Quadrant', 8000},
[203] = {707, 27, 2670.2800292969, -1220.5600585938, 60.916999816895, 'Carson Quadrant', 8000},
[204] = {708, 16, 2747.3798828125, -1351.9200439453, 44.615600585938, 'Emerald Avenue', 100000},
[205] = {713, 27, 2670.2800292969, -1211.7800292969, 63.665500640869, 'Carson Quadrant', 8000},
[206] = {714, 27, 2670.2800292969, -1207.6199951172, 64.798896789551, 'Carson Quadrant', 8000},
[207] = {715, 27, 2670.2800292969, -1203.0100097656, 65.731300354004, 'Carson Quadrant', 8000},
[208] = {716, 27, 2670.2800292969, -1200.0500488281, 66.494400024414, 'Carson Quadrant', 8000},
[209] = {717, 27, 2663.1799316406, -1200.0999755859, 66.46720123291, 'Carson Quadrant', 8000},
[210] = {718, 27, 2663.1799316406, -1203.0899658203, 65.685401916504, 'Carson Quadrant', 8000},
[211] = {719, 27, 2663.1799316406, -1207.6199951172, 64.760902404785, 'Carson Quadrant', 8000},
[212] = {720, 27, 2663.1799316406, -1211.7700195313, 63.623798370361, 'Carson Quadrant', 8000},
[213] = {721, 27, 2663.1799316406, -1216.2600097656, 62.223701477051, 'Carson Quadrant', 8000},
[214] = {722, 27, 2663.1799316406, -1220.5999755859, 60.874801635742, 'Carson Quadrant', 8000},
[215] = {723, 27, 2663.1799316406, -1224.8100585938, 59.586498260498, 'Carson Quadrant', 8000},
[216] = {724, 27, 2663.1799316406, -1229.2600097656, 58.299999237061, 'Carson Quadrant', 8000},
[217] = {725, 27, 2663.1799316406, -1233.5400390625, 57.07149887085, 'Carson Quadrant', 8000},
[218] = {726, 27, 2663.1799316406, -1238.1300048828, 55.673801422119, 'Carson Quadrant', 8000},
[219] = {727, 17, 2851.8500976563, -1366.0600585938, 14.170800209045, 'Black Avenue', 120000},
[220] = {728, 3, 2842.1499023438, -1334.7900390625, 14.742099761963, 'Black Avenue', 1},
[221] = {729, 3, 2847, -1309.7199707031, 14.701000213623, 'Black Avenue', 1},
[222] = {730, 10, 2808, -1190.8800048828, 25.343200683594, 'Black Avenue', 70000},
[223] = {731, 9, 2808.0100097656, -1175.9200439453, 25.382099151611, 'Black Avenue', 250000},
[224] = {747, 21, 2628.1000976563, -1067.7900390625, 69.715599060059, 'Dennis Street', 110000},
[225] = {748, 21, 2627.6499023438, -1085.0999755859, 69.715599060059, 'Dennis Street', 110000},
[226] = {749, 21, 2625.9399414063, -1098.6500244141, 69.366996765137, 'Dennis Street', 110000},
[227] = {750, 21, 2625.9499511719, -1112.5600585938, 67.995300292969, 'Dennis Street', 110000},
[228] = {751, 17, 2581.5, -969.28302001953, 81.364601135254, 'Free Rd', 15000},
[229] = {752, 17, 2582.9599609375, -952.91900634766, 81.388198852539, 'Free Rd', 15000},
[230] = {753, 17, 2552.0300292969, -958.31298828125, 82.618103027344, 'Free Rd', 15000},
[231] = {754, 17, 2531.1298828125, -963.29602050781, 82.368598937988, 'Free Rd', 15000},
[232] = {755, 17, 2517.8601074219, -965.35998535156, 82.328399658203, 'Free Rd', 15000},
[233] = {756, 17, 2492.1101074219, -965.70001220703, 82.548896789551, 'Free Rd', 15000},
[234] = {757, 17, 2499.5600585938, -946.9990234375, 82.470802307129, 'Free Rd', 15000},
[235] = {758, 17, 2459.3798828125, -947.70001220703, 80.08260345459, 'Free Rd', 15000},
[236] = {759, 17, 2472.3898925781, -962.04400634766, 80.525497436523, 'Free Rd', 15000},
[237] = {760, 4, 2576.6799316406, -1070.6899414063, 69.83219909668, 'Hill Avenue', 100000},
[238] = {761, 4, 2572.3500976563, -1091.8000488281, 67.225700378418, 'Hill Avenue', 100000},
[239] = {762, 17, 2454.1799316406, -964.97601318359, 80.073097229004, 'Free Rd', 15000},
[240] = {763, 2, 2519.0300292969, -1112.9899902344, 56.592601776123, 'Hill Avenue', 120000},
[241] = {764, 2, 2470.7199707031, -1105.3199462891, 44.487899780273, 'Hill Avenue', 120000},
[242] = {765, 2, 2457.1101074219, -1102.4899902344, 43.867198944092, 'Hill Avenue', 120000},
[243] = {766, 2, 2438.5500488281, -1105.7800292969, 43.081600189209, 'Hill Avenue', 120000},
[244] = {767, 2, 2407.8500976563, -1106.9699707031, 40.295700073242, 'Hill Avenue', 120000},
[245] = {768, 2, 2510.5600585938, -1132.5999755859, 41.620700836182, 'Mullholland Street', 120000},
[246] = {769, 17, 2579.6101074219, -1033.1999511719, 69.579803466797, 'Forest Rd', 10000},
[247] = {770, 2, 2488.1298828125, -1135.2399902344, 39.585899353027, 'Mullholland Street', 120000},
[248] = {771, 17, 2562.1101074219, -1034.4200439453, 69.869201660156, 'Forest Rd', 15000},
[249] = {772, 17, 2549.1999511719, -1032.1500244141, 69.578796386719, 'Forest Rd', 15000},
[250] = {773, 2, 2427.3999023438, -1135.7800292969, 34.710899353027, 'Mullholland Street', 120000},
[251] = {774, 17, 2534.4699707031, -1063.2800292969, 69.56559753418, 'Forest Rd', 15000},
[252] = {775, 17, 2526.0900878906, -1060.7199707031, 69.970802307129, 'Forest Rd', 15000},
[253] = {776, 17, 2526.8898925781, -1033.5200195313, 69.579399108887, 'Forest Rd', 15000},
[254] = {777, 3, 2394.9299316406, -1133.5400390625, 30.718799591064, 'Mullholland Street', 120000},
[255] = {778, 17, 2512.6799316406, -1027.1600341797, 70.085899353027, 'Forest Rd', 15000},
[256] = {779, 4, 2373.9899902344, -1138.9300537109, 29.058799743652, 'Mullholland Street', 120000},
[257] = {780, 17, 2499.75, -1065.5999755859, 70.235900878906, 'Forest Rd', 15000},
[258] = {781, 17, 2479.7199707031, -1063.8699951172, 66.998199462891, 'Forest Rd', 15000},
[259] = {782, 17, 2457.7600097656, -1054.6199951172, 59.959201812744, 'Forest Rd', 15000},
[260] = {783, 17, 2462.3400878906, -1011.1099853516, 60.113700866699, 'Forest Rd', 15000},
[261] = {784, 5, 2207.5, -1100.4300537109, 31.55470085144, 'Mullholland Street', 1},
[262] = {785, 17, 2439.8601074219, -1010.7399902344, 54.343799591064, 'Forest Rd', 15000},
[263] = {786, 17, 2440.5600585938, -1057.3399658203, 54.738700866699, 'Forest Rd', 15000},
[264] = {787, 6, 2145.330078125, -1084.7099609375, 25.035299301147, 'Mullholland Street', 1},
[265] = {788, 6, 2140.5300292969, -1082.4799804688, 25.033899307251, 'Mullholland Street', 1},
[266] = {789, 17, 2389.169921875, -1037.1199951172, 53.547298431396, 'Forest Rd', 10000},
[267] = {790, 7, 2108.7199707031, -1082.2700195313, 25.490100860596, 'Mullholland Street', 110000},
[268] = {791, 7, 2101.669921875, -1075.9100341797, 25.930999755859, 'Mullholland Street', 110000},
[269] = {792, 24, 2350.9799804688, -1039.7900390625, 54.335800170898, 'Forest Rd', 10000},
[270] = {793, 7, 2091.5700683594, -1068.1800537109, 28.076000213623, 'Mullholland Street', 110000},
[271] = {794, 24, 2362.7800292969, -1046.3900146484, 54.273300170898, 'Forest Rd', 10000},
[272] = {795, 7, 2077.2800292969, -1056.9699707031, 31.346399307251, 'Mullholland Street', 110000},
[273] = {796, 24, 2373.0300292969, -1051.3299560547, 54.132900238037, 'Forest Rd', 8000},
[274] = {797, 7, 2083.0500488281, -1039.6600341797, 32.208499908447, 'Mullholland Avenue', 110000},
[275] = {798, 24, 2370.25, -1034.5500488281, 54.410598754883, 'Forest Rd', 9000},
[276] = {799, 7, 2093.830078125, -1047.3599853516, 30.107500076294, 'Mullholland Avenue', 110000},
